"BehaviorSpace results (NetLogo 6.2.2)"
"Segregation.nlogo"
"experiment"
"04/24/2025 22:31:15:177 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","percent-unhappy"
"46","50","45","1","23.076923076923077"
"41","50","45","8","0.6177606177606177"
"42","50","45","4","7.000795544948289"
"44","50","45","2","15.762081784386616"
"43","50","45","3","9.82615268329554"
"41","50","45","9","0.3088803088803089"
"40","50","45","11","0.15071590052750566"
"45","50","45","2","14.743112434847358"
"41","50","45","10","0.6177606177606177"
"47","50","45","1","25.624999999999996"
"46","50","45","2","14.756671899529042"
"42","50","45","5","4.6937151949085125"
"43","50","45","4","6.953892668178383"
"40","50","45","12","0.07535795026375283"
"44","50","45","3","10.557620817843866"
"42","50","45","6","3.579952267303103"
"40","50","45","13","0.15071590052750566"
"46","50","45","3","9.026687598116169"
"44","50","45","4","6.394052044609666"
"45","50","45","3","9.158600148920328"
"42","50","45","7","2.4661893396976926"
"40","50","45","14","0.07535795026375283"
"42","50","45","8","1.6706443914081146"
"43","50","45","5","4.686318972033257"
"47","50","45","2","15.937499999999998"
"41","50","45","11","0.4633204633204633"
"42","50","45","9","1.352426412092283"
"47","50","45","3","8.671875"
"44","50","45","5","4.089219330855019"
"46","50","45","4","5.808477237048666"
"45","50","45","4","6.254653760238273"
"43","50","45","6","2.7210884353741496"
"41","50","45","12","0.15444015444015444"
"47","50","45","4","6.171875"
"44","50","45","6","3.0483271375464684"
"46","50","45","5","3.061224489795918"
"45","50","45","5","4.169769173492182"
"40","50","45","15","0"
"46","50","45","6","2.2762951334379906"
"42","50","45","10","1.0342084327764518"
"43","50","45","7","2.2675736961451247"
"41","50","45","13","0.07722007722007722"
"42","50","45","11","1.2728719172633254"
"47","50","45","5","3.90625"
"44","50","45","7","2.3048327137546467"
"45","50","45","6","3.1273268801191363"
"41","50","45","14","0.07722007722007722"
"43","50","45","8","1.436130007558579"
"42","50","45","12","0.9546539379474941"
"48","50","45","0","40.092879256965944"
"46","50","45","7","1.6483516483516485"
"41","50","45","15","0"
"44","50","45","8","1.5613382899628252"
"47","50","45","6","2.734375"
"45","50","45","7","1.6381236038719285"
"42","50","45","13","0.3977724741447892"
"46","50","45","8","1.0204081632653061"
"44","50","45","9","1.1152416356877324"
"43","50","45","9","0.6802721088435374"
"47","50","45","7","1.7187500000000002"
"48","50","45","1","23.374613003095977"
"45","50","45","8","0.6701414743112435"
"43","50","45","10","0.5291005291005291"
"47","50","45","8","1.015625"
"48","50","45","2","15.015479876160992"
"46","50","45","9","0.7849293563579277"
"43","50","45","11","0.30234315948601664"
"47","50","45","9","0.46875"
"48","50","45","3","8.6687306501548"
"49","50","45","0","44.961832061068705"
"44","50","45","10","0.5947955390334573"
"43","50","45","12","0.22675736961451248"
"47","50","45","10","0.3125"
"46","50","45","10","0.3139717425431711"
"47","50","45","11","0.234375"
"45","50","45","9","0.4467609828741623"
"42","50","45","14","0.31821797931583135"
"47","50","45","12","0.15625"
"49","50","45","1","25.80152671755725"
"42","50","45","15","0.23866348448687352"
"46","50","45","11","0.23547880690737832"
"47","50","45","13","0"
"42","50","45","16","0.31821797931583135"
"46","50","45","12","0.15698587127158556"
"44","50","45","11","0.29739776951672864"
"45","50","45","10","0.37230081906180196"
"48","50","45","4","5.572755417956656"
"46","50","45","13","0.07849293563579278"
"44","50","45","12","0.14869888475836432"
"45","50","45","11","0.14892032762472077"
"46","50","45","14","0"
"49","50","45","2","14.80916030534351"
"42","50","45","17","0.31821797931583135"
"44","50","45","13","0"
"43","50","45","13","0.22675736961451248"
"42","50","45","18","0.15910898965791567"
"48","50","45","5","3.637770897832817"
"43","50","45","14","0.15117157974300832"
"52","50","45","0","43.093093093093096"
"42","50","45","19","0.15910898965791567"
"45","50","45","12","0.07446016381236038"
"43","50","45","15","0.07558578987150416"
"49","50","45","3","10.305343511450381"
"42","50","45","20","0.15910898965791567"
"48","50","45","6","2.244582043343653"
"42","50","45","21","0.15910898965791567"
"49","50","45","4","5.877862595419847"
"48","50","45","7","1.393188854489164"
"51","50","45","0","38.16849816849817"
"45","50","45","13","0"
"43","50","45","16","0"
"52","50","45","1","25.975975975975974"
"49","50","45","5","3.8931297709923665"
"48","50","45","8","0.9287925696594427"
"50","50","45","0","39.616858237547895"
"42","50","45","22","0.07955449482895784"
"53","50","45","0","40.46721929163527"
"51","50","45","1","23.003663003663004"
"42","50","45","23","0.07955449482895784"
"48","50","45","9","0.696594427244582"
"42","50","45","24","0.07955449482895784"
"49","50","45","6","2.900763358778626"
"52","50","45","2","15.615615615615615"
"54","50","45","0","40.32258064516129"
"50","50","45","1","22.988505747126435"
"42","50","45","25","0"
"49","50","45","7","1.984732824427481"
"48","50","45","10","0.46439628482972134"
"53","50","45","1","22.984174830444612"
"48","50","45","11","0.15479876160990713"
"49","50","45","8","1.3740458015267176"
"52","50","45","3","9.30930930930931"
"51","50","45","2","15.164835164835164"
"50","50","45","2","13.256704980842912"
"48","50","45","12","0.07739938080495357"
"54","50","45","1","25.65284178187404"
"49","50","45","9","0.8396946564885497"
"53","50","45","2","16.126601356443103"
